,Kasturi Foundry Pvt. Ltd.(UNIT 1),,
,,,
,"T-6 Kagal-Hatkanangale Five Star MIDC , Kagal 416236.",,
,Tool Cost Report From :- 01/01/2024 To :-27/01/2024,,
,,,
,,,
,Component Name,Operation Name,Tool Discription
KFPLU1|PM|HMC|70,HOUSING FRONT 4656.401.158,1st OPERATION,
,,,R - TAP M10X1.0 VOP-LW-SFT 2.5P(ZF) T1503373 
,,,R - TAP M6X1 VPO-LW-SFT T1702938
,,,R - TAP M8X1.25 HSS-E TIN-DC-MT T2002957 
,,,R - TCMT 090204 FP4 WPP10G
,,,R - TCMT 110208 UE 6110
,,,R - TCMT 16T304 MP WK20CT
,,,R - TCMT 16T308 K20K 0.000
,,,R - TCMT 16T308-C25 NC6315
,,,R - TCMT 16T312 PTN10U
,,,R - U DRILL DIA 23 X 199 GPL ZF WG HSG
,,,R - U DRILL DIA 23.1/COUNTER 26.5 WITH C'FER X 186 GPL ZF WG HSG
,,,R - U DRILL DIA 26.5 X 213 GPL ZF WG HSG
,,,R - U DRILL DIA 29.5/COUNTER DIA 37 X 175 GPL ZF WG HSG
,,,R - U DRILL DIA 30.5 WITH C'FER X 192 GPL ZF WG HSG
,,,R - U DRILL DIA 34.5 WITH COUNTER X 190 GPL ZF WG HSG
,,,R - U DRILL DIA 36.5 WITHOUT SPL PROFILE C'FER X 170 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 140 WITH  C'FER X 210 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 189.5 X 160 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 39.5 X 185 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 39.5/75.7 WITH BOTH C'FER X 245 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 59.5/94.5 WITH BOTH C'FER X 236 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 75.72 WITH CHF X 150 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 84.25/ 94.5 WITH  C'FER X 240 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 84.5/59.5 WITH C.FER ZF WG HSG
,,,ROUGH BORING BAR DIA 94.5/84.3 WITH CHF X 150 GPL ZF WG HSG
,,,ROUGH BORING BAR DIA 99.5/125 X 220 GPL ZF WG HSG
,,,ROUGH BORING BAR OF DIA 63.00 X GPL-240.00 X BT-50 DRG NO 8409 ZF WG H 
,,,ROUGH BORING BAR OF DIA 64.10 X GPL-200.00 X BT-50 DRG NO 8408 CAP EXITER
,,,ROUGH BORING DIA 135.0/126.5 WITH C'FER X 155 GPL ZF WG HSG
,,,ROUGH BORING DIA 99.5 WITH CHF X 150 GPL ZF WG HSG
,,,SC DRILL DIA 19.7 X FL-55 X SH20 X 100 OAL
,,,SC STEP DRILL DIA 6.25/9.75 X SH10 X FL-40 X 100 OAL
,,,SC STEP DRILL DIA 6.8/11.5 X FL-35 X SH10 X 80 OAL
,,,SC STEP DRILL DIA 8/12.6 X 16.575 X SH20 X FL-45 X 100
,,,SC STEP REAMER DIA 12.6 X 16.575 X SH20 X FL-40 X 100
,,,SDMT 120410 TN-M TT 6030
,,,SEALED COLLET ER 16 10 MM
,,,SEALED COLLET ER 16 8 MM
,,,SEALED COLLET ER 25 10 MM
,,,SEALED COLLET ER 32 -20MM
,,,SEALED TAP COLLET ER 16 8-6.2
,,,SEALED TAP COLLET ER 25 10 X 8
,,,SEALED TAP COLLET ER 25 8 X 6.3
,,,SEALED TAP COLLET ER 32 12.5 X 10
,,,SEALED TAP COLLET ER 32 16 X 12.5
,,,SEMI FINISH UNDERCUT BORING BAR DIA 189.50 X 165 GPL ZF WG HSG
,,,SEMI FINISH UNDERCUT BORING BAR DIA 75.22 X 220 GPL (COMMON FOR REAR & FRONT) ZF WG HSG
,,,SEMI FINISH UNDERCUT BORING BAR DIA 94.5 X 220 GPL (COMMON FOR REAR & FRONT) ZF WG HSG
,,,SEMI FINISH UNDERCUT BORING BAR DIA 99.50 X 220 GPL (COMMON FOR REAR & FRONT) ZF WG HSG
,,,SHRINK FIT ADAPTOR BT50/T0600 GPL 90 AD/B
,,,SHRINK FIT ADAPTOR BT50/T1000 GPL 100 A
,,,SHRINK FIT ADAPTOR BT50/T1200 GPL 100 A
,,,SHRINK FIT ADAPTOR BT50/T1400 GPL 120 A
,,,SHRINK FIT ADAPTOR BT50/T1600 GPL 100
,,,SHRINK FIT ADAPTOR BT50/T1800 GPL 100 A
,,,SHRINK FIT ADAPTOR BT50/T2000 GPL 90 A 
,,,SNGN 120412 T02020 CW5025
,,,SNGX 1306C08 ZN-M TT 7515
,,,SNHX 120412 T125-S
,,,SPARE SO 35080I
,,,SPARE-TS 40B100 I
,,,SPL CHAMFER TOOL DIA 103.0 11° X 210 GPL ZF WG HSG
,,,SPL CHAMFER TOOL DIA 40x15° X 150 GPL ZF WG HSG
,,,SPL COMB U DRILL DIA 19.3/19.7 WITH C'FER X 170 GPL ZF WG HSG
,,,"SPL DAMP BORING BAR OF DIA31.0,OAL-250.0,SHANK-32.0 DRG,NO-09072 ZFWG"
,,,SPL. COMB. ROUGH BORING BAR OF DIA 46.0 / DIA 47.50/ DIA 49.50 WITH CHAMFER 20° WITH BT-50
,,,SPL. COMB. ROUGH BORING BAR OF DIA 54.90 / DIA 63.50/ DIA 91.00 / DIA 124 WITH BT-50
,,,SPL.COMB ROUGHING BORINGBAR OF DIA 52 X 10 X 62 X GPL 260 BT 50 
,,,SPMG 07T308 DG TT9030
,,,SPMG 090408-32000008
,,,SPMX 110408 YG 602
,,,SPOT FACE CUTTER DRIA 30 X 180 GPL ZF WG HSG
,,,SPOT FACE DIA 74.0 X 155 GPL ZF WG HSG
,,,SRF/SC-ST/ 183 PS SC STEP DRILL DIA 7 X SL30 X DIA 9 X OAL 100 X SH DIA 10 TC
,,,SRF/SC-ST/ 184 PS SC STEP DRILL DIA 6.8 X SL14.5 X DIA 10 X OAL 100 X SH DIA 10 TC
,,,SRF/SC-ST/ 185 PS SC STEP DRILL DIA 11 X SL60 X DIA 14 X OAL 120 X SH DIA 10 TC
,,,SRF/SC-ST/ 186 PS SC STEP DRILL DIA 9 X SL70 X DIA 10.5 X OAL 160 X SH DIA 12 TC
,,,SRF/SC-ST/ 188 PS SC STEP DRILL DIA 8 X SL 40 X DIA 12.5 X SL7.3X DIA 16.5 X OAL 120 X SH DIA 18 
,,,SRF/SC-ST/ 189 PS SC STEP DRILL DIA 11.5 X SL70 X OAL 140 X SH DIA 12 TC 
,,,TAP ENORM 1-Z/E TIN LK-M6 X 1 BT EFIB061A.1052
,,,TAP ENORM 1-Z/E TIN LK-M8 X 1.25 BT EFIB061A.1052
,,,TAP M10X1.0 VOP-LW-SFT 2.5P(ZF) T1503373 
,,,TAP M10X1.5 HSS-E TIN-DC-MT T2002958 
,,,TAP M6X1 VPO-LW-SFT T1702938
,,,TAP M8X1.25 HSS-E TIN-DC-MT T2002957 
,,,TCMT 090204 FP4 WPP10G
,,,TCMT 110208 UE 6110
,,,TCMT 16T304 MP WK20CT
,,,TCMT 16T308 K20K 0.000
,,,TCMT 16T308-C25 NC6315
,,,TCMT 16T312 PTN10U
,,,U DRILL DIA 23 X 199 GPL ZF WG HSG
,,,U DRILL DIA 23.1/COUNTER 26.5 WITH C'FER X 186 GPL ZF WG HSG
,,,U DRILL DIA 26.5 X 213 GPL ZF WG HSG
,,,U DRILL DIA 29.5/COUNTER DIA 37 X 175 GPL ZF WG HSG
,,,U DRILL DIA 30.5 WITH C'FER X 192 GPL ZF WG HSG
,,,U DRILL DIA 34.5 WITH COUNTER X 190 GPL ZF WG HSG
,,,U DRILL DIA 36.5 WITHOUT SPL PROFILE C'FER X 170 GPL ZF WG HSG
,HOUSING HYD. LIFT (H2 CRE) UNIT 007215458C01,1st OPERATION,HNHX 1006 ANTN ML TT6030
,,,LOMU150508ER-GH PR1510
,,,R - HNHX 1006 ANTN ML TT6030
,,,R - LOMU150508ER-GH PR1510
,,,R - SNGX 1306 PNTN-W TT 6080
,,,R - SNGX 130608-M SG6800
,,,R - SPARE TS 50C130 I
,,,SNGX 1306 PNTN-W TT 6080
,,,SNGX 130608-M SG6800
,,,SPARE TS 50C130 I
,HOUSING SINGLE CLUTCH - DH ECOLINE 006514389V1,1st OPERATION,HNCF 100610 KCK 15
,,,LNGX 130508 PNFN-W 260
,,,NNMU 200608 ZEN HK MC5020
,,,R - HNCF 100610 KCK 15
,,,R - LNGX 130508 PNFN-W 260
,,,R - NNMU 200608 ZEN HK MC5020
,,,R - SNGX 1306 PNTN-W TT 6080
,,,R - SNGX 1306C08 ZN-M TT 7515
,,,R - SPARE BFTX 03588
,,,R - TCMT 16T308 K20K 0.000
,,,SNGX 1306 PNTN-W TT 6080
,,,SNGX 1306C08 ZN-M TT 7515
,,,SPARE BFTX 03588
,,,TCMT 16T308 K20K 0.000
,HOUSING SINGLE CLUTCH - DH ECOLINE C06514389V1,2nd OPERATION,HNCF 100610 KCK 15
,,,NNMU 200608 ZEN HK MC5020
,,,PS SC DRILL DIA 10.3 X FL60 X OAL 110 T.C DM
,,,PS SC DRILL DIA 20XFL80XOAL120 T.C
,,,PS SC END MILL DIA 25 X FL110 X OAL 160
